Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,counter,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
2023-04-08,2023,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,Delhi Capitals,Yashasvi Jaiswal,"Barsapara Cricket Stadium, Guwahati",Navdeep Singh,Saidharshan Kumar,KN Ananthapadmanabhan,Abhijit Bhattacharya,Narayanan Kutty,11,Murugan Ashwin,Jos Buttler,Prithvi Shaw,Khaleel Ahmed,Rajasthan Royals,Delhi Capitals,None,None
2023-04-08,2023,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,Mumbai Indians,Ravindra Jadeja,"Wankhede Stadium, Mumbai",Chris Gaffaney,Nikhil Patwardhan,Anil Chaudhary,Madanagopal Kuppuraj,Daniel Manohar,12,Ambati Rayudu,Deepak Chahar,Kumar Kartikeya,Tim David,Chennai Super Kings,Mumbai Indians,None,None
2023-04-09,2023,Gujarat Titans,Gujarat Titans,Kolkata Knight Riders,bat,Kolkata Knight Riders,Gujarat Titans,Rinku Singh,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Tapan Sharma,Saiyed Khalid,Abhijit Bengeri,Javagal Srinath,13,Josh Little,Sai Sudharsan,Venkatesh Iyer,Suyash Sharma,Gujarat Titans,Kolkata Knight Riders,None,None
2023-04-09,2023,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Punjab Kings,Shikhar Dhawan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,14,Sikandar Raza,Prabhsimran Singh,None,None,Punjab Kings,None,Mohit  Rathee,None
2023-04-10,2023,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,field,Lucknow Super Giants,Royal Challengers Bangalore,Nicholas Pooran,"M Chinnaswamy Stadium, Bengaluru",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Madanagopal Kuppuraj,Daniel Manohar,15,Ayush Badoni,Amit Mishra,Karn Sharma,Anuj Rawat,Lucknow Super Giants,Royal Challengers Bangalore,None,None
2023-04-11,2023,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,Delhi Capitals,Rohit Sharma,"Arun Jaitley Stadium, Delhi",Michael Gough,Rohan Pandit,KN Ananthapadmanabhan,Abhijit Bhattacharya,Narayanan Kutty,16,Mukesh Kumar,Prithvi Shaw,Tim David,Riley Meredith,Delhi Capitals,Mumbai Indians,None,None
2023-04-12,2023,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,Chennai Super Kings,Ravichandran Ashwin,"MA Chidambaram Stadium, Chepauk, Chennai",Vinod Seshan,Virender Sharma,Nitin Menon,Abhijit Bengeri,Javagal Srinath,17,Adam Zampa,Jos Buttler,Ambati Rayudu,Sisanda Magala,Rajasthan Royals,Chennai Super Kings,None,None
2023-04-13,2023,Gujarat Titans,Punjab Kings,Gujarat Titans,field,Gujarat Titans,Punjab Kings,Mohit Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Akshay Totre,Jayaraman Madanagopal,Bruce Oxenford,Pranav Joshi,Rajiv Seth,18,Rahul Chahar,Bhanuka Rajapaksa,None,None,Punjab Kings,None,None,None
2023-04-14,2023,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,Kolkata Knight Riders,Harry Brook,"Eden Gardens, Kolkata",Chris Gaffaney,Sadashiv Iyer,Nikhil Patwardhan,Madanagopal Kuppuraj,Daniel Manohar,19,Venkatesh Iyer,Suyash Sharma,Washington Sundar,Harry Brook,Kolkata Knight Riders,Sunrisers Hyderabad,None,None
2023-04-15,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Saidharshan Kumar,Michael Gough,Abhijit Bhattacharya,Amit Sharma,20,Anuj Rawat,Mahipal Lomror,Prithvi Shaw,Mustafizur Rahman,Royal Challengers Bangalore,Delhi Capitals,None,None
2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,21,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,None,None
2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,22,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,None,None
2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,23,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,None,None
2023-04-17,2023,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,Devon Conway,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Navdeep Singh,Michael Gough,Abhijit Bhattacharya,Amit Sharma,24,Akash Singh,Ambati Rayudu,Suyash Prabhudessai,Mohammed Siraj,Chennai Super Kings,Royal Challengers Bangalore,None,None
2023-04-18,2023,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,Cameron Green,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Nitin Menon,Vinod Seshan,Virender Sharma,Abhijit Bengeri,Shakti Singh,25,Abdul Samad,T Natarajan,Riley Meredith,Tilak Varma,Sunrisers Hyderabad,Mumbai Indians,None,None
2023-04-19,2023,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,Lucknow Super Giants,Rajasthan Royals,Marcus Stoinis,"Sawai Mansingh Stadium, Jaipur",Jayaraman Madanagopal,Yeshwant Barde,Bruce Oxenford,Pranav Joshi,Rajiv Seth,26,Amit Mishra,Kyle Mayers,Devdutt Padikkal,Yuzvendra Chahal,Lucknow Super Giants,Rajasthan Royals,None,None
2023-04-20,2023,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Royal Challengers Bangalore,Punjab Kings,Mohammed Siraj,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Anil Chaudhary,Sadashiv Iyer,Chris Gaffaney,Madanagopal Kuppuraj,Prakash Bhatt,27,Prabhsimran Singh,Rahul Chahar,Vijaykumar Vyshak,Faf du Plessis,Punjab Kings,Royal Challengers Bangalore,None,None
2023-04-20,2023,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,Kolkata Knight Riders,Ishant Sharma,"Arun Jaitley Stadium, Delhi",Michael Gough,Rohan Pandit,KN Ananthapadmanabhan,Abhijit Bhattacharya,Amit Sharma,28,Anukul Roy,Venkatesh Iyer,Prithvi Shaw,Ishant Sharma,Kolkata Knight Riders,Delhi Capitals,None,None
2023-04-21,2023,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,Sunrisers Hyderabad,Ravindra Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Saiyed Khalid,Virender Sharma,Nitin Menon,Abhijit Bengeri,Shakti Singh,29,Ambati Rayudu,Akash Singh,Mayank Dagar,Rahul Tripathi,Chennai Super Kings,Sunrisers Hyderabad,None,None
2023-04-22,2023,Gujarat Titans,Gujarat Titans,Lucknow Super Giants,bat,Gujarat Titans,Lucknow Super Giants,Mohit Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Akshay Totre,Rod Tucker,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,30,Jayant Yadav,Shubman Gill,Prerak Mankad,Amit Mishra,Gujarat Titans,Lucknow Super Giants,None,None
2023-04-22,2023,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,Mumbai Indians,Sam Curran,"Wankhede Stadium, Mumbai",Chris Gaffaney,Sadashiv Iyer,Anil Chaudhary,Madanagopal Kuppuraj,Prakash Bhatt,31,Nathan Ellis,Prabhsimran Singh,Nehal Wadhera,Jason Behrendorff,Punjab Kings,Mumbai Indians,None,None
2023-04-23,2023,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,Rajasthan Royals,Glenn Maxwell,"M Chinnaswamy Stadium, Bengaluru",Michael Gough,Saidharshan Kumar,Navdeep Singh,Abhijit Bhattacharya,Amit Sharma,32,Abdul Basith,Devdutt Padikkal,Harshal Patel,Faf du Plessis,Rajasthan Royals,Royal Challengers Bangalore,None,None
