Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,counter,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
2023-05-05,2023,Rajasthan Royals,Rajasthan Royals,Gujarat Titans,bat,Gujarat Titans,Rajasthan Royals,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",Saiyed Khalid,Virender Sharma,Nitin Menon,VM Dhokre,Javagal Srinath,47,Riyan Parag,Yashasvi Jaiswal,Shubman Gill,Mohit Sharma,Rajasthan Royals,Gujarat Titans,None,None
2023-05-06,2023,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,Mumbai Indians,Matheesha Pathirana,"MA Chidambaram Stadium, Chepauk, Chennai",Bruce Oxenford,Navdeep Singh,KN Ananthapadmanabhan,Parashar Joshi,Narayanan Kutty,48,Ambati Rayudu,Maheesh Theekshana,Raghav Goyal,Suryakumar Yadav,Chennai Super Kings,Mumbai Indians,Raghav  Goyal,None
2023-05-06,2023,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,Royal Challengers Bangalore,Phil Salt,"Arun Jaitley Stadium, Delhi",Rod Tucker,Yeshwant Barde,Jayaraman Madanagopal,Mohamed Rafi,Manu Nayyar,49,Harshal Patel,Kedar Jadhav,Ripal Patel,Ishant Sharma,Royal Challengers Bangalore,Delhi Capitals,None,None
2023-05-07,2023,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,field,Gujarat Titans,Lucknow Super Giants,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Nand Kishore,Chris Gaffaney,Mohit Krishnadas,Prakash Bhatt,50,Alzarri Joseph,Shubman Gill,Ayush Badoni,Yash Thakur,Gujarat Titans,Lucknow Super Giants,None,None
2023-05-07,2023,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Rajasthan Royals,Glenn Phillips,"Sawai Mansingh Stadium, Jaipur",Nitin Menon,Vinod Seshan,Virender Sharma,VM Dhokre,Javagal Srinath,51,Anmolpreet Singh,T Natarajan,Obed McCoy,Ravichandran Ashwin,Sunrisers Hyderabad,Rajasthan Royals,None,None
2023-05-08,2023,Punjab Kings,Punjab Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,Punjab Kings,Andre Russell,"Eden Gardens, Kolkata",Akshay Totre,Jayaraman Madanagopal,Ulhas Gandhe,Mohamed Rafi,Sanjay Raul,52,Jason Roy,Suyash Sharma,Nathan Ellis,Bhanuka Rajapaksa,Kolkata Knight Riders,Punjab Kings,None,None
2023-05-09,2023,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,Royal Challengers Bangalore,Suryakumar Yadav,"Wankhede Stadium, Mumbai",Saiyed Khalid,Virender Sharma,Nitin Menon,VM Dhokre,Reetinder Sodhi,53,Kedar Jadhav,Mahipal Lomror,None,None,Royal Challengers Bangalore,None,None,None
2023-05-10,2023,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,Delhi Capitals,Ravindra Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Chris Gaffaney,Nikhil Patwardhan,Anil Chaudhary,Mohit Krishnadas,Sanjay Verma,54,Manish Pandey,Khaleel Ahmed,Matheesha Pathirana,Shivam Dube,Delhi Capitals,Chennai Super Kings,None,None
2023-05-11,2023,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,Kolkata Knight Riders,Yashasvi Jaiswal,"Eden Gardens, Kolkata",Rod Tucker,Saidharshan Kumar,Rohan Pandit,Parashar Joshi,Pankaj Dharmani,55,Suyash Sharma,Venkatesh Iyer,None,None,Kolkata Knight Riders,None,None,None
2023-05-12,2023,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,Mumbai Indians,Gujarat Titans,Suryakumar Yadav,"Wankhede Stadium, Mumbai",Nitin Menon,Tapan Sharma,Vinod Seshan,VM Dhokre,Reetinder Sodhi,56,Akash Madhwal,Vishnu Vinod,Shubman Gill,Mohit Sharma,Mumbai Indians,Gujarat Titans,None,None
2023-05-13,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,Sunrisers Hyderabad,Prerak Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Akshay Totre,Jayaraman Madanagopal,Yeshwant Barde,Mohamed Rafi,Pankaj Dharmani,57,Ayush Badoni,Amit Mishra,Vivrant Sharma,Anmolpreet Singh,Lucknow Super Giants,Sunrisers Hyderabad,None,None
2023-05-13,2023,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,Delhi Capitals,Prabhsimran Singh,"Arun Jaitley Stadium, Delhi",Chris Gaffaney,Nikhil Patwardhan,Sadashiv Iyer,Mohit Krishnadas,Sanjay Verma,58,Manish Pandey,Khaleel Ahmed,Nathan Ellis,Prabhsimran Singh,Delhi Capitals,Punjab Kings,None,None
