batting,out,runs,balls,mins,fours,sixs,SR,counter
Devon Conway,b Mohammed Shami,1,6,0,0,0,16.66,1
Ruturaj Gaikwad,c Shubman Gill b Joseph,92,50,0,4,9,184.00,1
Moeen Ali,c †Saha b Rashid Khan,23,17,0,4,1,135.29,1
Ben Stokes,c †Saha b Rashid Khan,7,6,0,1,0,116.66,1
Ambati Rayudu,b Little,12,12,0,0,1,100.00,1
Shivam Dube,c Rashid Khan b Mohammed Shami,19,18,0,0,1,105.55,1
Ravindra Jadeja,c Shankar b Joseph,1,2,0,0,0,50.00,1
MS Dhoni (c)†,not out,14,7,0,1,1,200.00,1
Mitchell Santner,not out,1,3,0,0,0,33.33,1
Prabhsimran Singh,c †Rahmanullah Gurbaz b Southee,23,12,10,2,2,191.66,2
Shikhar Dhawan (c),b Varun,40,29,75,6,0,137.93,2
Bhanuka Rajapaksa,c Singh b Yadav,50,32,47,5,2,156.25,2
Jitesh Sharma †,c Yadav b Southee,21,11,13,1,2,190.90,2
Sikandar Raza,c Rana b Narine,16,13,22,1,1,123.07,2
Sam Curran,not out,26,17,27,0,2,152.94,2
M Shahrukh Khan,not out,11,7,11,2,0,157.14,2
KL Rahul (c),c Patel b Sakariya,8,12,21,0,1,66.66,3
Kyle Mayers,b Patel,73,38,53,2,7,192.10,3
Deepak Hooda,c Warner b Kuldeep Yadav,17,18,31,0,0,94.44,3
Krunal Pandya,not out,15,13,51,0,1,115.38,3
Marcus Stoinis,c †Khan b Ahmed,12,10,13,0,1,120.00,3
Nicholas Pooran †,c Shaw b Ahmed,36,21,24,2,3,171.42,3
Ayush Badoni,c †Khan b Sakariya,18,7,10,1,2,257.14,3
Krishnappa Gowtham,not out,6,1,2,0,1,600.00,3
Yashasvi Jaiswal,c Agarwal b Fazalhaq Farooqi,54,37,63,9,0,145.94,4
Jos Buttler,b Fazalhaq Farooqi,54,22,32,7,3,245.45,4
Sanju Samson (c)†,c Abhishek Sharma b Natarajan,55,32,66,3,4,171.87,4
Devdutt Padikkal,b Umran Malik,2,5,10,0,0,40.00,4
Riyan Parag,c Fazalhaq Farooqi b Natarajan,7,6,12,1,0,116.66,4
Shimron Hetmyer,not out,22,16,21,1,1,137.50,4
Ravichandran Ashwin,not out,1,2,9,0,0,50.00,4
Rohit Sharma (c),c †Karthik b Akash Deep,1,10,30,0,0,10.00,5
Ishan Kishan †,c Patel b Mohammed Siraj,10,13,13,2,0,76.92,5
Cameron Green,b Topley,5,4,6,1,0,125.00,5
Suryakumar Yadav,c Shahbaz Ahmed b Bracewell,15,16,35,1,0,93.75,5
Tilak Varma,not out,84,46,85,9,4,182.60,5
Nehal Wadhera,c Kohli b Sharma,21,13,25,1,2,161.53,5
Tim David,b Sharma,4,7,11,0,0,57.14,5
Hrithik Shokeen,c du Plessis b Patel,5,3,12,1,0,166.66,5
Arshad Khan,not out,15,9,19,0,1,166.66,5
Ruturaj Gaikwad,c Wood b Ravi Bishnoi,57,31,55,3,4,183.87,6
Devon Conway,c Pandya b Wood,47,29,62,5,2,162.06,6
Shivam Dube,c Wood b Ravi Bishnoi,27,16,22,1,3,168.75,6
Moeen Ali,st †Pooran b Ravi Bishnoi,19,13,25,3,0,146.15,6
Ben Stokes,c Yash Thakur b Avesh Khan,8,8,16,1,0,100.00,6
Ambati Rayudu,not out,27,14,26,2,2,192.85,6
Ravindra Jadeja,c Ravi Bishnoi b Wood,3,6,13,0,0,50.00,6
MS Dhoni (c)†,c Ravi Bishnoi b Wood,12,3,6,0,2,400.00,6
Mitchell Santner,not out,1,1,2,0,0,100.00,6
David Warner (c),b Joseph,37,32,48,7,0,115.62,7
Prithvi Shaw,c Joseph b Mohammed Shami,7,5,17,1,0,140.00,7
Mitchell Marsh,b Mohammed Shami,4,4,10,1,0,100.00,7
Sarfaraz Khan,c Little b Rashid Khan,30,34,66,2,0,88.23,7
Rilee Rossouw,c Tewatia b Joseph,0,1,4,0,0,0.00,7
Abishek Porel †,b Rashid Khan,20,11,25,0,2,181.81,7
Axar Patel,c Miller b Mohammed Shami,36,22,33,2,3,163.63,7
Aman Hakim Khan,c Pandya b Rashid Khan,8,8,10,0,1,100.00,7
Kuldeep Yadav,not out,1,1,7,0,0,100.00,7
Anrich Nortje,not out,4,2,1,1,0,200.00,7
Prabhsimran Singh,c Buttler b Holder,60,34,49,7,3,176.47,8
Shikhar Dhawan (c),not out,86,56,113,9,3,153.57,8
Bhanuka Rajapaksa,retired hurt,1,1,3,0,0,100.00,8
Jitesh Sharma †,c Parag b Chahal,27,16,31,2,1,168.75,8
Sikandar Raza,b Ashwin,1,2,2,0,0,50.00,8
M Shahrukh Khan,c Buttler b Holder,11,10,23,1,0,110.00,8
Sam Curran,not out,1,2,3,0,0,50.00,8
Rahmanullah Gurbaz †,c Akash Deep b Sharma,57,44,58,6,3,129.54,9
Venkatesh Iyer,b Willey,3,7,18,0,0,42.85,9
Mandeep Singh,b Willey,0,1,2,0,0,0.00,9
Nitish Rana (c),c †Karthik b Bracewell,1,5,17,0,0,20.00,9
Rinku Singh,c †Karthik b Patel,46,33,64,2,3,139.39,9
Andre Russell,c Kohli b Sharma,0,1,2,0,0,0.00,9
Shardul Thakur,c Maxwell b Mohammed Siraj,68,29,45,9,3,234.48,9
Sunil Narine,not out,0,1,6,0,0,0.00,9
Umesh Yadav,not out,6,2,2,1,0,300.00,9
Anmolpreet Singh †,lbw b Pandya,31,26,38,3,1,119.23,10
Mayank Agarwal,c Stoinis b Pandya,8,7,14,1,0,114.28,10
Rahul Tripathi,c Mishra b Yash Thakur,34,41,65,4,0,82.92,10
Aiden Markram (c),b Pandya,0,1,2,0,0,0.00,10
Harry Brook,st †Pooran b Ravi Bishnoi,3,4,5,0,0,75.00,10
Washington Sundar,c Hooda b Mishra,16,28,40,0,0,57.14,10
Abdul Samad,not out,21,10,11,1,2,210.00,10
Adil Rashid,c Hooda b Mishra,4,3,3,1,0,133.33,10
Umran Malik,run out (Hooda/Unadkat),0,0,1,0,0,0,10
Bhuvneshwar Kumar,not out,0,0,4,0,0,0,10
Yashasvi Jaiswal,c & b Mukesh Kumar,60,31,47,11,1,193.54,11
Jos Buttler,c & b Mukesh Kumar,79,51,94,11,1,154.90,11
Sanju Samson (c)†,c Nortje b Kuldeep Yadav,0,4,7,0,0,0.00,11
Riyan Parag,b Powell,7,11,16,0,0,63.63,11
Shimron Hetmyer,not out,39,21,32,1,4,185.71,11
Dhruv Jurel,not out,8,3,7,0,1,266.66,11
Rohit Sharma (c),b Deshpande,21,13,22,3,1,161.53,12
Ishan Kishan †,c Pretorius b Jadeja,32,21,36,5,0,152.38,12
Cameron Green,c & b Jadeja,12,11,23,1,0,109.09,12
