BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter
Shahbaz Ahmed,1,0,15.0,0,15.00,1,0,2,0,0,15
Mukesh Kumar,2,0,30.0,2,15.00,6,3,3,0,0,16
Mustafizur Rahman,4,0,38.0,1,9.50,11,5,2,0,0,16
Anrich Nortje,4,0,35.0,0,8.75,8,2,2,0,0,16
Lalit Yadav,4,0,23.0,0,5.75,10,1,1,1,0,16
Axar Patel,4,0,20.0,0,5.00,12,2,0,1,0,16
Kuldeep Yadav,2,0,23.0,0,11.50,2,1,2,0,0,16
Sandeep Sharma,3,0,30.0,1,10.00,6,1,2,2,0,17
Kuldeep Sen,2,0,8.0,0,4.00,4,0,0,0,0,17
Jason Holder,3,0,37.0,0,12.33,4,4,2,1,0,17
Adam Zampa,4,0,43.0,1,10.75,5,4,1,1,0,17
Ravichandran Ashwin,4,0,25.0,2,6.25,10,1,1,2,0,17
Yuzvendra Chahal,4,0,27.0,2,6.75,8,2,0,1,0,17
Arshdeep Singh,4,0,33.0,1,8.25,8,5,0,0,0,18
Kagiso Rabada,4,0,36.0,1,9.00,11,5,1,0,0,18
Harpreet Brar,4,0,20.0,1,5.00,8,1,0,0,0,18
Sam Curran,3.5,0,25.0,1,6.52,7,2,0,0,0,18
Rahul Chahar,3,0,24.0,0,8.00,4,3,0,0,0,18
Matthew Short,1,0,8.0,0,8.00,1,1,0,0,0,18
Bhuvneshwar Kumar,4,1,29.0,1,7.25,10,4,0,1,0,19
Marco Jansen,4,0,37.0,2,9.25,12,1,3,4,2,19
T Natarajan,4,0,54.0,1,13.50,6,6,3,1,0,19
Umran Malik,2,0,36.0,1,18.00,3,4,3,0,0,19
Mayank Markande,4,0,27.0,2,6.75,10,2,1,0,0,19
Washington Sundar,2,0,20.0,0,10.00,2,1,1,0,0,19
Mohammed Siraj,4,0,23.0,2,5.75,14,4,0,0,0,20
Wayne Parnell,4,0,28.0,1,7.00,10,3,1,0,0,20
Vijaykumar Vyshak,4,0,20.0,3,5.00,11,2,0,0,0,20
Shahbaz Ahmed,1,0,11.0,0,11.00,0,1,0,0,0,20
Wanindu Hasaranga,3,0,37.0,1,12.33,4,5,1,0,0,20
Harshal Patel,4,0,32.0,1,8.00,7,3,0,3,0,20
Yudhvir Singh,3,0,19.0,2,6.33,11,4,0,0,0,21
Avesh Khan,3,0,24.0,0,8.00,8,4,0,1,0,21
Mark Wood,4,0,35.0,2,8.75,10,2,2,2,0,21
Krishnappa Gowtham,4,0,31.0,1,7.75,10,1,2,1,0,21
Krunal Pandya,3,0,32.0,1,10.66,6,3,2,0,0,21
Ravi Bishnoi,2.3,0,18.0,2,7.20,7,2,0,1,0,21
Umesh Yadav,2,0,19.0,0,9.50,6,1,2,0,0,22
Shardul Thakur,2,0,25.0,1,12.50,2,3,1,1,0,22
Sunil Narine,3,0,41.0,0,13.66,4,3,3,1,0,22
Suyash Sharma,4,0,27.0,2,6.75,11,3,1,0,0,22
Varun Chakravarthy,4,0,38.0,1,9.50,10,2,3,1,0,22
Lockie Ferguson,1.4,0,19.0,1,11.40,4,1,2,0,0,22
Andre Russell,1,0,17.0,0,17.00,1,2,1,0,0,22
Mohammed Shami,4,1,25.0,3,6.25,18,1,3,1,0,23
Hardik Pandya,4,0,24.0,1,6.00,14,3,1,0,0,23
Alzarri Joseph,3,0,47.0,0,15.66,2,3,4,0,0,23
Rashid Khan,4,0,46.0,2,11.50,7,1,5,0,0,23
Mohit Sharma,2,0,7.0,0,3.50,5,0,0,0,0,23
Noor Ahmad,2.2,0,29.0,1,12.42,3,2,2,1,0,23
Akash Singh,3,0,35.0,1,11.66,9,3,3,0,0,24
Tushar Deshpande,4,0,45.0,3,11.25,9,5,2,3,0,24
Maheesh Theekshana,4,0,41.0,1,10.25,4,1,3,1,0,24
