BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter
Mukesh Kumar,4,0,52.0,0,13.00,8,3,5,1,0,63
Axar Patel,3,0,27.0,1,9.00,3,4,0,0,0,63
Kuldeep Yadav,3,0,21.0,0,7.00,4,0,1,1,0,63
Bhuvneshwar Kumar,4,0,48.0,1,12.00,10,7,2,1,0,64
Abhishek Sharma,3,0,28.0,0,9.33,5,3,1,1,0,64
T Natarajan,4,0,34.0,1,8.50,6,3,1,1,0,64
Kartik Tyagi,1.2,0,21.0,0,15.75,1,4,0,1,0,64
Nitish Kumar Reddy,2,0,19.0,0,9.50,3,1,1,0,1,64
Mayank Dagar,4,0,25.0,0,6.25,8,1,1,0,0,64
Glenn Phillips,1,0,10.0,0,10.00,1,1,0,0,0,64
Sam Curran,4,0,46.0,1,11.50,9,8,1,2,0,65
Kagiso Rabada,4,0,40.0,2,10.00,12,2,4,1,1,65
Arshdeep Singh,4,0,40.0,1,10.00,11,4,2,3,0,65
Nathan Ellis,4,0,34.0,1,8.50,8,3,1,1,0,65
Rahul Chahar,3.4,0,28.0,1,7.63,5,1,1,0,0,65
Deepak Chahar,4,0,22.0,3,5.50,14,2,1,0,0,66
Tushar Deshpande,4,0,26.0,1,6.50,12,4,0,1,0,66
Maheesh Theekshana,4,1,23.0,2,5.75,11,1,1,0,0,66
Ravindra Jadeja,4,0,50.0,1,12.50,4,3,4,1,0,66
Matheesha Pathirana,4,0,22.0,2,5.50,11,1,0,5,0,66
Mohsin Khan,1,0,15.0,0,15.00,2,2,1,0,0,67
Naveen-ul-Haq,4,0,46.0,0,11.50,8,6,2,0,0,67
Krunal Pandya,4,0,30.0,1,7.50,9,5,0,0,0,67
Krishnappa Gowtham,4,0,26.0,1,6.50,9,2,0,2,0,67
Ravi Bishnoi,4,0,23.0,2,5.75,10,1,1,0,0,67
Yash Thakur,3,0,31.0,2,10.33,9,1,3,3,0,67
Bhuvneshwar Kumar,4,0,26.0,1,6.50,8,3,0,0,0,68
Nitish Kumar Reddy,3,0,35.0,0,11.66,7,1,4,0,0,68
Mayank Dagar,4,0,37.0,1,9.25,9,4,2,0,0,68
Kartik Tyagi,2.5,0,41.0,0,14.47,4,6,1,0,3,68
Umran Malik,3,0,41.0,0,13.66,3,7,1,0,0,68
Vivrant Sharma,1,0,19.0,0,19.00,1,0,2,1,1,68
Aiden Markram,0.1,0,1.0,0,6.00,0,0,0,0,0,68
Mohammed Siraj,4,0,32.0,2,8.00,11,2,2,2,0,69
Wayne Parnell,3.1,0,42.0,0,13.26,7,6,2,1,1,69
Vijaykumar Vyshak,4,0,40.0,1,10.00,6,2,2,2,0,69
Himanshu Sharma,3,0,28.0,0,9.33,4,3,1,0,0,69
Harshal Patel,4,0,29.0,1,7.25,11,2,1,2,0,69
Michael Bracewell,1,0,16.0,0,16.00,2,0,2,0,0,69
Deepak Chahar,4,0,29.0,2,7.25,10,2,1,3,0,70
Tushar Deshpande,4,0,43.0,1,10.75,11,6,2,2,0,70
Maheesh Theekshana,4,0,28.0,2,7.00,8,1,1,0,0,70
Ravindra Jadeja,4,0,18.0,2,4.50,12,2,0,0,0,70
Matheesha Pathirana,4,0,37.0,2,9.25,9,2,1,7,0,70
Jason Behrendorff,3,0,21.0,0,7.00,7,3,0,0,0,71
Akash Madhwal,3.3,0,5.0,5,1.42,17,0,0,0,0,71
Chris Jordan,2,1,7.0,1,3.50,9,1,0,0,0,71
Cameron Green,3,0,15.0,0,5.00,7,1,0,0,0,71
Hrithik Shokeen,1,0,18.0,0,18.00,1,2,1,1,0,71
Piyush Chawla,4,0,28.0,1,7.00,9,2,1,2,0,71
Mohammed Shami,3,0,41.0,2,13.66,6,6,2,0,0,72
Hardik Pandya,2,0,24.0,0,12.00,4,3,1,1,0,72
Rashid Khan,4,0,33.0,2,8.25,8,5,0,1,0,72
Noor Ahmad,4,0,35.0,0,8.75,8,1,2,1,1,72
Josh Little,3,0,26.0,1,8.66,6,2,1,1,0,72
Mohit Sharma,2.2,0,10.0,5,4.28,9,0,1,0,0,72
