BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter
Glenn Maxwell,1,0,16.0,0,16.00,0,1,1,1,0,5
Kyle Mayers,2,0,16.0,0,8.00,1,1,0,1,0,6
Avesh Khan,3,0,39.0,1,13.00,4,6,0,1,0,6
Krunal Pandya,2,0,21.0,0,10.50,4,1,2,0,0,6
Krishnappa Gowtham,1,0,20.0,0,20.00,2,0,3,0,0,6
Mark Wood,4,0,49.0,3,12.25,9,3,5,0,0,6
Yash Thakur,4,0,36.0,0,9.00,4,3,1,0,1,6
Ravi Bishnoi,4,0,28.0,3,7.00,13,1,2,1,0,6
Mohammed Shami,4,0,41.0,3,10.25,15,5,1,4,0,7
Josh Little,4,0,27.0,0,6.75,11,2,1,0,0,7
Hardik Pandya,3,0,18.0,0,6.00,6,2,0,0,0,7
Alzarri Joseph,4,0,29.0,2,7.25,13,3,1,1,0,7
Yash Dayal,1,0,12.0,0,12.00,0,0,1,0,0,7
Rashid Khan,4,0,31.0,3,7.75,9,2,2,0,0,7
Trent Boult,4,0,38.0,0,9.50,8,3,2,1,0,8
KM Asif,4,0,54.0,0,13.50,7,5,3,3,1,8
Ravichandran Ashwin,4,0,25.0,1,6.25,7,2,0,1,0,8
Jason Holder,4,0,29.0,2,7.25,7,2,1,0,0,8
Yuzvendra Chahal,4,0,50.0,1,12.50,5,7,1,1,0,8
Mohammed Siraj,4,0,44.0,1,11.00,13,6,1,3,1,9
David Willey,4,1,16.0,2,4.00,15,2,0,1,0,9
Akash Deep,2,0,30.0,0,15.00,4,2,2,1,2,9
Michael Bracewell,3,0,34.0,1,11.33,3,1,3,0,0,9
Shahbaz Ahmed,1,0,6.0,0,6.00,3,1,0,0,0,9
Karn Sharma,3,0,26.0,2,8.66,6,2,1,0,0,9
Harshal Patel,3,0,38.0,1,12.66,5,4,2,1,0,9
Kyle Mayers,1,0,5.0,0,5.00,1,0,0,0,0,10
Jaydev Unadkat,3,0,26.0,0,8.66,9,0,3,1,0,10
Krunal Pandya,4,0,18.0,3,4.50,15,3,0,0,0,10
Yash Thakur,3,0,23.0,1,7.66,6,3,0,0,0,10
Ravi Bishnoi,4,0,16.0,1,4.00,10,0,0,1,0,10
Deepak Hooda,1,0,8.0,0,8.00,1,1,0,0,0,10
Amit Mishra,4,0,23.0,2,5.75,10,3,0,0,0,10
Khaleel Ahmed,2,0,31.0,0,15.50,3,6,0,2,0,11
Anrich Nortje,4,0,44.0,0,11.00,10,6,2,0,0,11
Mukesh Kumar,4,0,36.0,2,9.00,8,3,2,0,0,11
Axar Patel,4,0,38.0,0,9.50,6,5,1,0,0,11
Kuldeep Yadav,4,0,31.0,1,7.75,8,2,1,0,0,11
Rovman Powell,2,0,18.0,1,9.00,4,1,1,1,1,11
Deepak Chahar,1,0,10.0,0,10.00,2,2,0,0,0,12
Tushar Deshpande,3,0,31.0,2,10.33,9,2,3,1,0,12
Sisanda Magala,4,0,37.0,1,9.25,4,5,0,0,0,12
Mitchell Santner,4,0,28.0,2,7.00,6,3,0,0,0,12
Ravindra Jadeja,4,0,20.0,3,5.00,9,0,1,0,0,12
Dwaine Pretorius,4,0,28.0,0,7.00,9,3,0,4,0,12
Umesh Yadav,3,0,24.0,0,8.00,7,4,0,1,0,13
Shardul Thakur,3,0,40.0,0,13.33,4,3,3,1,0,13
Lockie Ferguson,4,0,40.0,0,10.00,8,3,2,1,1,13
Sunil Narine,4,0,33.0,3,8.25,8,3,1,1,0,13
Varun Chakravarthy,2,0,27.0,0,13.50,1,2,1,1,0,13
Suyash Sharma,4,0,35.0,1,8.75,6,3,0,1,0,13
Bhuvneshwar Kumar,4,0,33.0,1,8.25,13,6,0,3,0,14
Marco Jansen,3,1,16.0,2,5.33,14,2,1,1,0,14
T Natarajan,4,0,40.0,0,10.00,10,3,3,0,0,14
Washington Sundar,1,0,6.0,0,6.00,3,1,0,0,0,14
Mayank Markande,4,0,15.0,4,3.75,15,2,0,0,0,14
Umran Malik,4,0,32.0,2,8.00,14,3,2,1,0,14
Jaydev Unadkat,2,0,27.0,0,13.50,3,2,2,1,0,15
Avesh Khan,4,0,53.0,0,13.25,8,5,4,0,0,15
Krunal Pandya,4,0,35.0,0,8.75,5,2,2,0,0,15
Mark Wood,4,1,32.0,1,8.00,12,1,3,2,0,15
Ravi Bishnoi,4,0,39.0,0,9.75,5,1,3,1,0,15
Amit Mishra,2,0,18.0,1,9.00,2,1,1,0,0,15
Jason Behrendorff,3,0,23.0,3,7.66,8,1,2,0,0,16
Arshad Khan,1,0,12.0,0,12.00,1,2,0,1,0,16
Cameron Green,3,0,30.0,0,10.00,4,5,0,1,0,16
Hrithik Shokeen,4,0,43.0,1,10.75,10,4,2,1,1,16
Riley Meredith,3.4,0,34.0,2,9.27,10,5,1,0,1,16
Piyush Chawla,4,0,22.0,3,5.50,9,2,0,0,0,16
Tilak Varma,1,0,7.0,0,7.00,3,1,0,1,0,16
Akash Singh,4,0,40.0,2,10.00,7,2,3,1,0,17
Tushar Deshpande,4,0,37.0,2,9.25,7,4,1,1,0,17
Maheesh Theekshana,4,0,42.0,0,10.50,4,5,1,0,0,17
Ravindra Jadeja,4,0,21.0,2,5.25,11,0,0,3,0,17
Moeen Ali,2,0,21.0,1,10.50,3,0,2,0,0,17
Sisanda Magala,2,0,14.0,0,7.00,2,0,0,1,0,17
Mohammed Shami,4,0,44.0,1,11.00,9,7,1,1,0,18
Josh Little,4,0,31.0,1,7.75,11,3,1,3,0,18
Alzarri Joseph,4,0,32.0,1,8.00,11,1,2,5,0,18
Rashid Khan,4,0,26.0,1,6.50,13,3,1,0,0,18
Mohit Sharma,4,0,18.0,2,4.50,12,2,0,0,0,18
Umesh Yadav,3,0,42.0,0,14.00,3,3,3,1,0,19
Lockie Ferguson,2,0,37.0,0,18.50,4,5,1,1,1,19
Sunil Narine,4,0,28.0,0,7.00,7,1,1,2,0,19
Andre Russell,2.1,0,22.0,3,10.15,4,2,1,2,0,19
Varun Chakravarthy,4,0,41.0,1,10.25,4,3,2,1,0,19
Suyash Sharma,4,0,44.0,0,11.00,8,4,3,0,0,19
Shardul Thakur,0.5,0,14.0,0,16.80,0,3,0,0,0,19
Anrich Nortje,4,0,31.0,0,7.75,9,3,0,2,1,20
Axar Patel,3,0,25.0,1,8.33,9,0,3,0,0,20
Mustafizur Rahman,3,0,41.0,0,13.66,2,5,2,0,0,20
Mitchell Marsh,2,0,18.0,2,9.00,5,2,1,0,0,20
Lalit Yadav,4,0,29.0,1,7.25,7,0,2,1,0,20
Kuldeep Yadav,4,1,23.0,2,5.75,10,3,0,0,0,20
Matthew Short,2,0,10.0,0,5.00,7,0,1,0,0,21
Arshdeep Singh,3,0,22.0,1,7.33,7,3,0,1,0,21
Kagiso Rabada,4,0,34.0,2,8.50,11,2,2,2,0,21
Sam Curran,4,0,31.0,3,7.75,9,2,1,2,0,21
Harpreet Brar,2,0,10.0,1,5.00,6,1,0,0,0,21
Sikandar Raza,2,0,19.0,1,9.50,2,2,0,0,1,21
Rahul Chahar,3,0,28.0,0,9.33,5,1,2,1,0,21
Arjun Tendulkar,2,0,17.0,0,8.50,6,1,1,1,0,22
Cameron Green,2,0,20.0,1,10.00,6,1,1,2,0,22
Duan Jansen,4,0,53.0,1,13.25,6,3,4,4,0,22
Piyush Chawla,4,0,19.0,1,4.75,10,1,0,0,0,22
Hrithik Shokeen,4,0,34.0,2,8.50,7,3,1,1,0,22
Riley Meredith,4,0,40.0,1,10.00,9,3,3,0,0,22
Trent Boult,4,0,46.0,1,11.50,6,4,2,2,0,23
Sandeep Sharma,4,0,25.0,2,6.25,10,3,0,1,0,23
Adam Zampa,4,0,32.0,1,8.00,9,2,2,0,0,23
Ravichandran Ashwin,4,0,37.0,0,9.25,5,4,1,0,0,23
Yuzvendra Chahal,4,0,36.0,1,9.00,3,0,2,1,0,23
Mohammed Siraj,4,0,30.0,1,7.50,10,1,2,1,0,24
Wayne Parnell,4,0,48.0,1,12.00,7,3,4,0,0,24
Vijaykumar Vyshak,4,0,62.0,1,15.50,3,5,5,0,0,24
Glenn Maxwell,2.4,0,28.0,1,10.50,4,0,3,1,0,24
Wanindu Hasaranga,2,0,21.0,1,10.50,1,1,1,0,0,24
Harshal Patel,3.2,0,36.0,1,10.80,8,2,2,2,2,24
Bhuvneshwar Kumar,4,0,31.0,1,7.75,8,1,2,0,0,25
Marco Jansen,4,0,43.0,2,10.75,11,3,4,1,0,25
Washington Sundar,4,0,33.0,0,8.25,10,4,1,0,0,25
T Natarajan,4,0,50.0,1,12.50,3,7,1,0,0,25
Mayank Markande,4,0,35.0,0,8.75,9,4,1,1,0,25
Trent Boult,4,1,16.0,1,4.00,18,1,1,0,0,26
Sandeep Sharma,4,0,32.0,1,8.00,8,4,0,0,1,26
Ravichandran Ashwin,4,0,23.0,2,5.75,9,2,0,1,0,26
Yuzvendra Chahal,4,0,41.0,0,10.25,5,3,2,0,0,26
Jason Holder,4,0,38.0,1,9.50,7,3,2,0,0,26
Arshdeep Singh,4,0,34.0,1,8.50,8,5,0,1,0,27
Harpreet Brar,3,0,31.0,2,10.33,7,1,3,0,0,27
Nathan Ellis,4,0,41.0,1,10.25,8,2,3,1,0,27
Sam Curran,4,0,27.0,0,6.75,6,1,0,0,1,27
Rahul Chahar,4,0,24.0,0,6.00,7,2,0,0,0,27
Liam Livingstone,1,0,9.0,0,9.00,0,1,0,0,0,27
Ishant Sharma,4,0,19.0,2,4.75,13,2,0,1,0,28
Mukesh Kumar,4,0,34.0,1,8.50,15,2,3,4,0,28
Anrich Nortje,4,0,20.0,2,5.00,16,3,0,2,0,28
Axar Patel,3,0,13.0,2,4.33,12,2,0,0,0,28
Mitchell Marsh,2,0,25.0,0,12.50,2,1,2,2,0,28
Kuldeep Yadav,3,0,15.0,2,5.00,9,0,1,1,0,28
Akash Singh,3,0,17.0,1,5.66,10,1,1,0,0,29
Tushar Deshpande,3,0,26.0,0,8.66,7,4,0,1,0,29
Maheesh Theekshana,4,0,27.0,1,6.75,5,2,0,0,0,29
Moeen Ali,2,0,18.0,0,9.00,2,1,1,0,0,29
Ravindra Jadeja,4,0,22.0,3,5.50,8,1,0,0,0,29
Matheesha Pathirana,4,0,22.0,1,5.50,9,2,0,1,0,29
Naveen-ul-Haq,4,0,19.0,1,4.75,12,1,0,0,0,30
Krunal Pandya,4,0,16.0,2,4.00,13,1,0,0,0,30
Avesh Khan,3,0,21.0,0,7.00,6,2,0,0,0,30
Ravi Bishnoi,4,0,49.0,0,12.25,4,4,3,0,0,30
Marcus Stoinis,3,0,20.0,2,6.66,7,1,1,0,0,30
Amit Mishra,2,0,9.0,1,4.50,4,0,0,0,0,30
Arjun Tendulkar,3,0,48.0,1,16.00,4,6,2,4,1,31
Jason Behrendorff,3,0,41.0,1,13.66,6,2,4,1,0,31
Cameron Green,4,0,41.0,2,10.25,9,2,4,0,0,31
Jofra Archer,4,0,42.0,1,10.50,8,3,3,1,0,31
Piyush Chawla,3,0,15.0,2,5.00,12,2,0,1,0,31
Hrithik Shokeen,3,0,24.0,0,8.00,7,1,1,0,1,31
Trent Boult,4,0,41.0,2,10.25,8,6,0,1,0,32
Sandeep Sharma,4,0,49.0,2,12.25,9,7,2,1,0,32
Ravichandran Ashwin,4,0,36.0,1,9.00,7,2,2,1,0,32
Yuzvendra Chahal,4,0,28.0,1,7.00,7,0,1,2,0,32
Jason Holder,4,0,32.0,0,8.00,6,3,1,0,0,32
Umesh Yadav,3,0,35.0,0,11.66,7,3,3,0,0,33
David Wiese,3,0,38.0,0,12.66,3,3,2,0,0,33
Varun Chakravarthy,4,0,49.0,1,12.25,8,2,5,0,0,33
Kulwant Khejroliya,3,0,44.0,2,14.66,5,2,4,0,1,33
Sunil Narine,2,0,23.0,0,11.50,3,1,2,0,0,33
Suyash Sharma,4,0,29.0,1,7.25,8,2,1,0,0,33
Andre Russell,1,0,17.0,0,17.00,0,1,1,2,0,33
Bhuvneshwar Kumar,4,0,11.0,2,2.75,16,1,0,0,0,34
Marco Jansen,2,0,27.0,0,13.50,4,4,1,0,0,34
Washington Sundar,4,0,28.0,3,7.00,10,2,1,0,0,34
T Natarajan,3,0,21.0,1,7.00,3,2,0,0,0,34
Mayank Markande,4,0,34.0,0,8.50,7,4,0,1,0,34
Umran Malik,2,0,14.0,0,7.00,4,2,0,0,0,34
Aiden Markram,1,0,7.0,0,7.00,0,0,0,0,0,34
Arjun Tendulkar,2,0,9.0,1,4.50,7,0,0,0,0,35
Jason Behrendorff,4,0,37.0,1,9.25,8,2,2,2,0,35
Riley Meredith,4,0,49.0,1,12.25,6,4,3,2,0,35
Cameron Green,2,0,39.0,0,19.50,0,2,4,0,0,35
Piyush Chawla,4,0,34.0,2,8.50,7,3,1,1,0,35
Kumar Kartikeya,4,0,39.0,1,9.75,7,3,2,0,0,35
Mohammed Siraj,4,0,33.0,1,8.25,11,5,1,0,0,36
David Willey,3,0,31.0,0,10.33,5,4,1,1,0,36
Wanindu Hasaranga,4,0,24.0,2,6.00,10,3,0,0,0,36
Shahbaz Ahmed,1,0,25.0,0,25.00,1,0,4,0,0,36
Vijaykumar Vyshak,4,0,41.0,2,10.25,3,2,2,3,0,36
Harshal Patel,4,0,44.0,0,11.00,7,2,4,1,0,36
Akash Singh,2,0,32.0,0,16.00,3,6,1,0,0,37
Tushar Deshpande,4,0,42.0,2,10.50,10,5,2,0,0,37
Maheesh Theekshana,4,0,24.0,1,6.00,11,3,0,1,0,37
Ravindra Jadeja,4,0,32.0,1,8.00,6,2,1,1,0,37
Moeen Ali,2,0,17.0,0,8.50,2,0,1,0,0,37
Matheesha Pathirana,4,0,48.0,0,12.00,5,5,1,2,0,37
Gurnoor Brar,3,0,42.0,0,14.00,7,4,3,1,2,38
Arshdeep Singh,4,0,54.0,1,13.50,4,10,0,2,0,38
Kagiso Rabada,4,0,52.0,2,13.00,12,3,5,2,2,38
Sikandar Raza,1,0,17.0,0,17.00,2,1,2,0,0,38
Rahul Chahar,4,0,29.0,0,7.25,8,2,1,0,0,38
Sam Curran,3,0,38.0,1,12.66,5,4,2,0,0,38
Liam Livingstone,1,0,19.0,1,19.00,1,3,1,0,0,38
Mohammed Shami,4,0,33.0,3,8.25,12,3,2,0,0,39
Hardik Pandya,3,0,34.0,0,11.33,9,3,3,1,0,39
Rashid Khan,4,0,54.0,0,13.50,3,3,4,1,0,39
Josh Little,4,0,25.0,2,6.25,12,2,1,0,0,39
Noor Ahmad,4,0,21.0,2,5.25,12,1,1,1,0,39
Mohit Sharma,1,0,12.0,0,12.00,1,0,1,0,0,39
Ishant Sharma,3,0,31.0,1,10.33,9,7,0,0,0,40
Anrich Nortje,4,0,44.0,0,11.00,4,4,1,2,0,40
Mukesh Kumar,2,0,38.0,0,19.00,2,4,2,2,1,40
Mitchell Marsh,4,1,27.0,4,6.75,12,1,2,2,0,40
Kuldeep Yadav,3,0,27.0,0,9.00,4,1,2,0,0,40
Axar Patel,4,0,29.0,1,7.25,7,0,2,2,0,40
Arshdeep Singh,4,0,37.0,1,9.25,8,5,0,3,0,41
Kagiso Rabada,4,0,34.0,0,8.50,8,4,1,1,0,41
Sam Curran,4,0,46.0,1,11.50,7,5,2,3,0,41
Rahul Chahar,4,0,35.0,1,8.75,7,2,2,0,0,41
Sikandar Raza,3,0,31.0,1,10.33,6,4,1,0,0,41
Liam Livingstone,1,0,16.0,0,16.00,0,3,0,0,0,41
Cameron Green,3,0,31.0,0,10.33,10,2,2,4,0,42
Jofra Archer,4,0,35.0,1,8.75,16,2,3,3,1,42
Riley Meredith,4,0,51.0,1,12.75,7,9,1,2,0,42
Piyush Chawla,4,0,34.0,2,8.50,11,2,3,0,0,42
Kumar Kartikeya,2,0,14.0,0,7.00,6,1,1,0,0,42
Arshad Khan,3,0,39.0,3,13.00,5,4,2,3,0,42
Krunal Pandya,4,0,21.0,0,5.25,8,1,0,0,0,43
Marcus Stoinis,1,0,11.0,0,11.00,0,1,0,0,0,43
Naveen-ul-Haq,4,0,30.0,3,7.50,8,3,1,0,0,43
Ravi Bishnoi,4,0,21.0,2,5.25,7,0,0,0,0,43
Amit Mishra,3,0,21.0,2,7.00,4,0,1,0,0,43
Yash Thakur,2,0,12.0,0,6.00,6,1,0,2,0,43
Krishnappa Gowtham,2,0,10.0,1,5.00,5,0,0,0,0,43
Mohammed Shami,4,0,11.0,4,2.75,19,1,0,0,0,44
Hardik Pandya,1,0,10.0,0,10.00,3,2,0,0,1,44
Josh Little,3,0,27.0,0,9.00,6,4,0,0,0,44
Rashid Khan,4,0,28.0,1,7.00,12,0,3,1,0,44
Noor Ahmad,4,0,20.0,0,5.00,11,1,0,2,0,44
Mohit Sharma,4,0,33.0,2,8.25,7,1,2,0,0,44
Cameron Green,2,0,15.0,0,7.50,7,2,0,0,0,45
Arshad Khan,4,0,48.0,1,12.00,9,7,2,1,0,45
Jofra Archer,4,0,56.0,0,14.00,4,4,3,2,1,45
Piyush Chawla,4,0,29.0,2,7.25,7,4,0,0,0,45
Kumar Kartikeya,3,0,24.0,0,8.00,3,0,1,3,0,45
Akash Madhwal,3,0,37.0,0,12.33,1,3,1,0,1,45
Bhuvneshwar Kumar,4,0,33.0,1,8.25,12,6,0,1,0,46
Marco Jansen,3,0,24.0,2,8.00,7,3,0,0,1,46
Kartik Tyagi,2,0,30.0,1,15.00,5,3,2,2,1,46
Aiden Markram,3,0,24.0,1,8.00,5,2,1,0,0,46
T Natarajan,4,0,30.0,2,7.50,9,1,1,2,0,46
Mayank Markande,4,0,29.0,1,7.25,8,1,2,0,0,46
Mohammed Shami,4,0,27.0,1,6.75,13,2,1,2,0,47
Hardik Pandya,2,0,22.0,1,11.00,4,3,1,0,0,47
Rashid Khan,4,0,14.0,3,3.50,13,0,0,2,0,47
Josh Little,4,0,24.0,1,6.00,7,2,0,0,0,47
Noor Ahmad,3,0,25.0,2,8.33,7,2,1,3,0,47
Mohit Sharma,0.5,0,5.0,0,6.00,0,0,0,0,0,47
Deepak Chahar,3,0,18.0,2,6.00,10,3,0,0,0,48
Tushar Deshpande,4,0,26.0,2,6.50,9,2,0,1,0,48
Ravindra Jadeja,4,0,37.0,1,9.25,5,5,0,1,0,48
Moeen Ali,1,0,10.0,0,10.00,2,2,0,0,0,48
Maheesh Theekshana,4,0,28.0,0,7.00,11,3,1,0,0,48
Matheesha Pathirana,4,0,15.0,3,3.75,12,0,0,0,0,48
Khaleel Ahmed,4,0,45.0,1,11.25,7,3,3,1,0,49
Axar Patel,3,0,17.0,0,5.66,7,2,0,0,0,49
Ishant Sharma,3,0,29.0,0,9.66,5,4,0,2,0,49
Mukesh Kumar,3,0,30.0,1,10.00,6,5,0,1,0,49
Mitchell Marsh,3,0,21.0,2,7.00,3,0,1,1,0,49
Kuldeep Yadav,4,0,37.0,0,9.25,5,2,2,0,0,49
Mohsin Khan,3,0,42.0,1,14.00,4,5,2,2,0,50
Avesh Khan,4,0,34.0,1,8.50,8,2,2,0,0,50
Krunal Pandya,4,0,38.0,0,9.50,5,2,2,0,0,50
Yash Thakur,4,0,48.0,0,12.00,4,2,4,1,0,50
Ravi Bishnoi,2,0,21.0,0,10.50,2,0,2,1,0,50
Kyle Mayers,1,0,16.0,0,16.00,1,3,0,0,1,50
Swapnil Singh,1,0,7.0,0,7.00,1,0,0,0,0,50
Marcus Stoinis,1,0,20.0,0,20.00,0,1,2,0,0,50
Bhuvneshwar Kumar,4,0,44.0,1,11.00,7,6,1,2,0,51
Marco Jansen,4,0,44.0,1,11.00,5,6,1,1,0,51
T Natarajan,4,0,36.0,0,9.00,8,4,1,1,0,51
Mayank Markande,4,0,51.0,0,12.75,7,1,6,0,0,51
Abhishek Sharma,2,0,15.0,0,7.50,5,1,1,0,0,51
Vivrant Sharma,2,0,18.0,0,9.00,4,1,1,1,0,51
Vaibhav Arora,3,0,32.0,0,10.66,8,7,0,1,0,52
Harshit Rana,3,0,33.0,2,11.00,9,4,2,0,1,52
Andre Russell,1,0,19.0,0,19.00,1,4,0,0,1,52
Varun Chakravarthy,4,0,26.0,3,6.50,11,2,1,1,0,52
Suyash Sharma,4,0,26.0,1,6.50,12,1,2,1,0,52
Sunil Narine,4,0,29.0,0,7.25,9,2,1,1,0,52
Nitish Rana,1,0,7.0,1,7.00,3,1,0,0,0,52
Jason Behrendorff,4,0,36.0,3,9.00,9,5,1,0,0,53
Piyush Chawla,4,0,41.0,0,10.25,8,5,2,0,0,53
Cameron Green,2,0,15.0,1,7.50,6,3,0,0,0,53
Chris Jordan,4,0,48.0,1,12.00,7,4,3,1,0,53
Kumar Kartikeya,4,0,35.0,1,8.75,6,3,1,1,0,53
Akash Madhwal,2,0,23.0,0,11.50,1,1,1,0,1,53
Khaleel Ahmed,4,0,32.0,1,8.00,9,1,2,2,0,54
Ishant Sharma,2,0,23.0,0,11.50,4,4,0,2,0,54
Lalit Yadav,3,0,34.0,1,11.33,6,2,3,0,0,54
Axar Patel,4,0,27.0,2,6.75,8,2,1,0,0,54
Kuldeep Yadav,4,0,28.0,1,7.00,6,0,1,3,0,54
Mitchell Marsh,3,0,18.0,3,6.00,7,1,0,3,0,54
Trent Boult,3,0,15.0,2,5.00,13,2,0,0,0,55
Sandeep Sharma,4,0,34.0,1,8.50,12,2,3,0,0,55
Ravichandran Ashwin,4,0,32.0,0,8.00,6,1,2,0,0,55
Joe Root,2,0,14.0,0,7.00,2,1,0,0,0,55
Yuzvendra Chahal,4,0,25.0,4,6.25,11,2,1,0,0,55
KM Asif,3,0,27.0,1,9.00,4,0,2,1,0,55
Mohammed Shami,4,0,53.0,0,13.25,9,5,4,0,0,56
Mohit Sharma,4,0,43.0,1,10.75,10,6,2,0,0,56
Rashid Khan,4,0,30.0,4,7.50,10,5,0,0,0,56
Noor Ahmad,4,0,38.0,0,9.50,7,4,1,0,0,56
Alzarri Joseph,4,0,52.0,0,13.00,5,2,5,0,0,56
Yudhvir Singh,3,0,24.0,1,8.00,8,4,0,1,0,57
Kyle Mayers,1,0,11.0,0,11.00,3,2,0,0,1,57
Krunal Pandya,4,0,24.0,2,6.00,12,2,1,0,0,57
Avesh Khan,2,0,30.0,1,15.00,2,5,1,0,0,57
Yash Thakur,4,0,28.0,1,7.00,11,1,2,0,0,57
Amit Mishra,4,0,40.0,1,10.00,8,2,3,1,0,57
Ravi Bishnoi,2,0,23.0,0,11.50,1,2,1,0,0,57
Khaleel Ahmed,4,0,36.0,0,9.00,11,4,1,3,0,58
Ishant Sharma,3,0,27.0,2,9.00,8,4,1,0,0,58
Axar Patel,4,0,27.0,1,6.75,12,1,1,2,0,58
Praveen Dubey,3,0,19.0,1,6.33,8,1,1,1,0,58
Kuldeep Yadav,4,0,32.0,1,8.00,9,2,2,0,0,58
Mitchell Marsh,1,0,21.0,0,21.00,0,1,2,1,0,58
Mukesh Kumar,1,0,3.0,1,3.00,3,0,0,0,0,58
Sandeep Sharma,4,0,34.0,1,8.50,4,4,0,1,0,59
Adam Zampa,4,0,25.0,2,6.25,10,2,1,0,0,59
Yuzvendra Chahal,4,0,37.0,0,9.25,4,3,1,1,0,59
Ravichandran Ashwin,4,0,33.0,0,8.25,5,1,2,1,0,59
KM Asif,4,0,42.0,2,10.50,8,2,3,1,0,59
Vaibhav Arora,4,0,30.0,1,7.50,7,2,0,1,1,60
Harshit Rana,2,0,19.0,0,9.50,5,2,1,0,0,60
Varun Chakravarthy,4,0,36.0,2,9.00,5,2,1,1,0,60
Sunil Narine,4,0,15.0,2,3.75,10,0,0,0,0,60
Shardul Thakur,3,0,15.0,1,5.00,7,1,0,1,0,60
Suyash Sharma,3,0,29.0,0,9.66,6,0,3,0,1,60
Bhuvneshwar Kumar,4,0,30.0,5,7.50,11,4,0,0,0,61
Marco Jansen,4,0,39.0,1,9.75,11,3,1,4,2,61
Fazalhaq Farooqi,3,0,31.0,1,10.33,3,4,0,1,0,61
T Natarajan,4,0,34.0,1,8.50,4,4,0,0,0,61
Aiden Markram,1,0,13.0,0,13.00,0,2,0,0,0,61
Mayank Markande,3,0,27.0,0,9.00,3,4,0,0,0,61
Abhishek Sharma,1,0,13.0,0,13.00,2,1,1,1,0,61
Jason Behrendorff,4,0,30.0,2,7.50,9,0,2,1,0,62
Chris Jordan,4,0,50.0,0,12.50,7,3,4,2,0,62
Hrithik Shokeen,3,0,20.0,0,6.66,9,1,1,0,0,62
Piyush Chawla,3,0,26.0,1,8.66,5,0,2,0,0,62
Akash Madhwal,4,0,30.0,0,7.50,7,1,1,2,0,62
Cameron Green,2,0,16.0,0,8.00,5,1,1,0,0,62
Sam Curran,4,0,36.0,2,9.00,9,4,1,1,0,63
Kagiso Rabada,3,0,36.0,0,12.00,8,2,4,0,0,63
Arshdeep Singh,2,0,21.0,0,10.50,4,2,1,2,0,63
Nathan Ellis,4,0,46.0,0,11.50,6,5,2,0,0,63
Rahul Chahar,4,0,35.0,0,8.75,7,4,1,0,0,63
Harpreet Brar,3,0,39.0,0,13.00,2,3,2,2,0,63
Mohammed Siraj,4,0,17.0,1,4.25,16,2,0,2,0,64
Wayne Parnell,4,0,35.0,0,8.75,5,3,1,0,0,64
Michael Bracewell,2,0,13.0,2,6.50,5,2,0,0,0,64
Shahbaz Ahmed,3,0,38.0,1,12.66,4,4,2,0,0,64
Harshal Patel,4,0,37.0,1,9.25,4,3,1,1,0,64
Karn Sharma,3,0,45.0,0,15.00,0,1,4,1,0,64
Trent Boult,4,0,35.0,1,8.75,12,3,2,1,0,65
Sandeep Sharma,4,0,46.0,0,11.50,6,3,3,2,1,65
Navdeep Saini,4,0,40.0,3,10.00,9,6,1,1,0,65
Adam Zampa,4,0,26.0,1,6.50,6,2,0,0,0,65
