BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter
Mohammed Shami,4,0,29.0,2,7.25,13,2,2,0,1,1
Hardik Pandya,3,0,28.0,0,9.33,6,2,2,0,0,1
Josh Little,4,0,41.0,1,10.25,10,4,3,0,0,1
Rashid Khan,4,0,26.0,2,6.50,10,2,1,0,0,1
Alzarri Joseph,4,0,33.0,2,8.25,8,0,3,0,0,1
Yash Dayal,1,0,14.0,0,14.00,2,0,2,0,0,1
Umesh Yadav,4,0,27.0,1,6.75,11,2,1,0,0,2
Tim Southee,4,0,54.0,2,13.50,7,6,3,0,0,2
Sunil Narine,4,0,40.0,1,10.00,8,3,2,1,0,2
Varun Chakravarthy,4,0,26.0,1,6.50,10,2,1,1,0,2
Shardul Thakur,4,0,43.0,0,10.75,7,4,2,0,1,2
Khaleel Ahmed,4,0,30.0,2,7.50,15,3,2,1,0,3
Mukesh Kumar,4,0,34.0,0,8.50,5,0,2,1,0,3
Chetan Sakariya,4,0,53.0,2,13.25,8,1,6,3,0,3
Axar Patel,4,0,38.0,1,9.50,8,1,3,0,0,3
Kuldeep Yadav,4,0,35.0,1,8.75,7,0,3,0,0,3
Bhuvneshwar Kumar,3,0,36.0,0,12.00,6,4,2,1,0,4
Fazalhaq Farooqi,4,0,41.0,2,10.25,11,7,0,0,0,4
Washington Sundar,3,0,32.0,0,10.66,5,1,3,0,0,4
T Natarajan,3,0,23.0,2,7.66,7,4,0,0,0,4
Adil Rashid,4,0,33.0,0,8.25,6,1,2,0,0,4
Umran Malik,3,0,32.0,1,10.66,4,4,1,1,0,4
Mohammed Siraj,4,0,21.0,1,5.25,16,2,0,6,0,5
Reece Topley,2,0,14.0,1,7.00,7,3,0,0,0,5
Akash Deep,3,0,29.0,1,9.66,7,2,2,0,0,5
Harshal Patel,4,0,43.0,1,10.75,6,3,2,1,1,5
Karn Sharma,4,0,32.0,2,8.00,7,1,2,1,0,5
Michael Bracewell,2,0,16.0,1,8.00,6,3,0,0,0,5
