BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter,bowl_team,Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
Lalit Yadav,4.0,0,29.0,1,7.25,7,0,2,1,0,20,Delhi Capitals,2023-04-15,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Saidharshan Kumar,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Anuj Rawat,Mahipal Lomror,Prithvi Shaw,Mustafizur Rahman,Royal Challengers Bangalore,Delhi Capitals,,
Kuldeep Yadav,4.0,1,23.0,2,5.75,10,3,0,0,0,20,Delhi Capitals,2023-04-15,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Saidharshan Kumar,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Anuj Rawat,Mahipal Lomror,Prithvi Shaw,Mustafizur Rahman,Royal Challengers Bangalore,Delhi Capitals,,
Mohammed Siraj,4.0,0,23.0,2,5.75,14,4,0,0,0,20,Royal Challengers Bangalore,2023-04-15,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Saidharshan Kumar,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Anuj Rawat,Mahipal Lomror,Prithvi Shaw,Mustafizur Rahman,Royal Challengers Bangalore,Delhi Capitals,,
Wayne Parnell,4.0,0,28.0,1,7.0,10,3,1,0,0,20,Royal Challengers Bangalore,2023-04-15,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Saidharshan Kumar,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Anuj Rawat,Mahipal Lomror,Prithvi Shaw,Mustafizur Rahman,Royal Challengers Bangalore,Delhi Capitals,,
Vijaykumar Vyshak,4.0,0,20.0,3,5.0,11,2,0,0,0,20,Royal Challengers Bangalore,2023-04-15,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Saidharshan Kumar,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Anuj Rawat,Mahipal Lomror,Prithvi Shaw,Mustafizur Rahman,Royal Challengers Bangalore,Delhi Capitals,,
Shahbaz Ahmed,1.0,0,11.0,0,11.0,0,1,0,0,0,20,Royal Challengers Bangalore,2023-04-15,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Saidharshan Kumar,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Anuj Rawat,Mahipal Lomror,Prithvi Shaw,Mustafizur Rahman,Royal Challengers Bangalore,Delhi Capitals,,
Wanindu Hasaranga,3.0,0,37.0,1,12.33,4,5,1,0,0,20,Royal Challengers Bangalore,2023-04-15,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Saidharshan Kumar,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Anuj Rawat,Mahipal Lomror,Prithvi Shaw,Mustafizur Rahman,Royal Challengers Bangalore,Delhi Capitals,,
Harshal Patel,4.0,0,32.0,1,8.0,7,3,0,3,0,20,Royal Challengers Bangalore,2023-04-15,2023,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Saidharshan Kumar,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Anuj Rawat,Mahipal Lomror,Prithvi Shaw,Mustafizur Rahman,Royal Challengers Bangalore,Delhi Capitals,,
Matthew Short,2.0,0,10.0,0,5.0,7,0,1,0,0,21,Punjab Kings,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Arshdeep Singh,3.0,0,22.0,1,7.33,7,3,0,1,0,21,Punjab Kings,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Kagiso Rabada,4.0,0,34.0,2,8.5,11,2,2,2,0,21,Punjab Kings,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Sam Curran,4.0,0,31.0,3,7.75,9,2,1,2,0,21,Punjab Kings,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Harpreet Brar,2.0,0,10.0,1,5.0,6,1,0,0,0,21,Punjab Kings,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Sikandar Raza,2.0,0,19.0,1,9.5,2,2,0,0,1,21,Punjab Kings,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Rahul Chahar,3.0,0,28.0,0,9.33,5,1,2,1,0,21,Punjab Kings,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Yudhvir Singh,3.0,0,19.0,2,6.33,11,4,0,0,0,21,Lucknow Super Giants,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Avesh Khan,3.0,0,24.0,0,8.0,8,4,0,1,0,21,Lucknow Super Giants,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Mark Wood,4.0,0,35.0,2,8.75,10,2,2,2,0,21,Lucknow Super Giants,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Krishnappa Gowtham,4.0,0,31.0,1,7.75,10,1,2,1,0,21,Lucknow Super Giants,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Krunal Pandya,3.0,0,32.0,1,10.66,6,3,2,0,0,21,Lucknow Super Giants,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Ravi Bishnoi,2.3,0,18.0,2,7.2,7,2,0,1,0,21,Lucknow Super Giants,2023-04-15,2023,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,Lucknow Super Giants,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Saiyed Khalid,Virender Sharma,Tapan Sharma,Abhijit Bengeri,Shakti Singh,Krishnappa Gowtham,Kyle Mayers,Prabhsimran Singh,Rahul Chahar,Lucknow Super Giants,Punjab Kings,,
Arjun Tendulkar,2.0,0,17.0,0,8.5,6,1,1,1,0,22,Mumbai Indians,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Cameron Green,2.0,0,20.0,1,10.0,6,1,1,2,0,22,Mumbai Indians,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Duan Jansen,4.0,0,53.0,1,13.25,6,3,4,4,0,22,Mumbai Indians,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Piyush Chawla,4.0,0,19.0,1,4.75,10,1,0,0,0,22,Mumbai Indians,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Hrithik Shokeen,4.0,0,34.0,2,8.5,7,3,1,1,0,22,Mumbai Indians,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Riley Meredith,4.0,0,40.0,1,10.0,9,3,3,0,0,22,Mumbai Indians,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Umesh Yadav,2.0,0,19.0,0,9.5,6,1,2,0,0,22,Kolkata Knight Riders,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Shardul Thakur,2.0,0,25.0,1,12.5,2,3,1,1,0,22,Kolkata Knight Riders,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Sunil Narine,3.0,0,41.0,0,13.66,4,3,3,1,0,22,Kolkata Knight Riders,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Suyash Sharma,4.0,0,27.0,2,6.75,11,3,1,0,0,22,Kolkata Knight Riders,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Varun Chakravarthy,4.0,0,38.0,1,9.5,10,2,3,1,0,22,Kolkata Knight Riders,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Lockie Ferguson,1.4,0,19.0,1,11.4,4,1,2,0,0,22,Kolkata Knight Riders,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Andre Russell,1.0,0,17.0,0,17.0,1,2,1,0,0,22,Kolkata Knight Riders,2023-04-16,2023,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Kolkata Knight Riders,Venkatesh Iyer,"Wankhede Stadium, Mumbai",Bruce Oxenford,Ulhas Gandhe,Jayaraman Madanagopal,Pranav Joshi,Rajiv Seth,Rohit Sharma,Riley Meredith,Suyash Sharma,Venkatesh Iyer,Mumbai Indians,Kolkata Knight Riders,,
Trent Boult,4.0,0,46.0,1,11.5,6,4,2,2,0,23,Rajasthan Royals,2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,,
Sandeep Sharma,4.0,0,25.0,2,6.25,10,3,0,1,0,23,Rajasthan Royals,2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,,
Adam Zampa,4.0,0,32.0,1,8.0,9,2,2,0,0,23,Rajasthan Royals,2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,,
Ravichandran Ashwin,4.0,0,37.0,0,9.25,5,4,1,0,0,23,Rajasthan Royals,2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,,
Yuzvendra Chahal,4.0,0,36.0,1,9.0,3,0,2,1,0,23,Rajasthan Royals,2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,,
Mohammed Shami,4.0,1,25.0,3,6.25,18,1,3,1,0,23,Gujarat Titans,2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,,
Hardik Pandya,4.0,0,24.0,1,6.0,14,3,1,0,0,23,Gujarat Titans,2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,,
Alzarri Joseph,3.0,0,47.0,0,15.66,2,3,4,0,0,23,Gujarat Titans,2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,,
Rashid Khan,4.0,0,46.0,2,11.5,7,1,5,0,0,23,Gujarat Titans,2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,,
Mohit Sharma,2.0,0,7.0,0,3.5,5,0,0,0,0,23,Gujarat Titans,2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,,
Noor Ahmad,2.2,0,29.0,1,12.42,3,2,2,1,0,23,Gujarat Titans,2023-04-16,2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,"Narendra Modi Stadium, Ahmedabad",Anil Chaudhary,Chris Gaffaney,Nand Kishore,Madanagopal Kuppuraj,Prakash Bhatt,Devdutt Padikkal,Yuzvendra Chahal,Noor Ahmad,Shubman Gill,Rajasthan Royals,Gujarat Titans,,
Mohammed Siraj,4.0,0,30.0,1,7.5,10,1,2,1,0,24,Royal Challengers Bangalore,2023-04-17,2023,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,Devon Conway,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Navdeep Singh,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Akash Singh,Ambati Rayudu,Suyash Prabhudessai,Mohammed Siraj,Chennai Super Kings,Royal Challengers Bangalore,,
Wayne Parnell,4.0,0,48.0,1,12.0,7,3,4,0,0,24,Royal Challengers Bangalore,2023-04-17,2023,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,Devon Conway,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Navdeep Singh,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Akash Singh,Ambati Rayudu,Suyash Prabhudessai,Mohammed Siraj,Chennai Super Kings,Royal Challengers Bangalore,,
Vijaykumar Vyshak,4.0,0,62.0,1,15.5,3,5,5,0,0,24,Royal Challengers Bangalore,2023-04-17,2023,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,Devon Conway,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Navdeep Singh,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Akash Singh,Ambati Rayudu,Suyash Prabhudessai,Mohammed Siraj,Chennai Super Kings,Royal Challengers Bangalore,,
Glenn Maxwell,2.4,0,28.0,1,10.5,4,0,3,1,0,24,Royal Challengers Bangalore,2023-04-17,2023,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,Devon Conway,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Navdeep Singh,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Akash Singh,Ambati Rayudu,Suyash Prabhudessai,Mohammed Siraj,Chennai Super Kings,Royal Challengers Bangalore,,
Wanindu Hasaranga,2.0,0,21.0,1,10.5,1,1,1,0,0,24,Royal Challengers Bangalore,2023-04-17,2023,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,Devon Conway,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Navdeep Singh,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Akash Singh,Ambati Rayudu,Suyash Prabhudessai,Mohammed Siraj,Chennai Super Kings,Royal Challengers Bangalore,,
Harshal Patel,3.2,0,36.0,1,10.8,8,2,2,2,2,24,Royal Challengers Bangalore,2023-04-17,2023,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,Devon Conway,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Navdeep Singh,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Akash Singh,Ambati Rayudu,Suyash Prabhudessai,Mohammed Siraj,Chennai Super Kings,Royal Challengers Bangalore,,
Akash Singh,3.0,0,35.0,1,11.66,9,3,3,0,0,24,Chennai Super Kings,2023-04-17,2023,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,Devon Conway,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Navdeep Singh,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Akash Singh,Ambati Rayudu,Suyash Prabhudessai,Mohammed Siraj,Chennai Super Kings,Royal Challengers Bangalore,,
Tushar Deshpande,4.0,0,45.0,3,11.25,9,5,2,3,0,24,Chennai Super Kings,2023-04-17,2023,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Royal Challengers Bangalore,Devon Conway,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Navdeep Singh,Michael Gough,Abhijit Bhattacharya,Amit Sharma,Akash Singh,Ambati Rayudu,Suyash Prabhudessai,Mohammed Siraj,Chennai Super Kings,Royal Challengers Bangalore,,
