BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter,bowl_team,Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
Tim Southee,4.0,0,54.0,2,13.5,7,6,3,0,0,2,Kolkata Knight Riders,2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,,
Sunil Narine,4.0,0,40.0,1,10.0,8,3,2,1,0,2,Kolkata Knight Riders,2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,,
Varun Chakravarthy,4.0,0,26.0,1,6.5,10,2,1,1,0,2,Kolkata Knight Riders,2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,,
Shardul Thakur,4.0,0,43.0,0,10.75,7,4,2,0,1,2,Kolkata Knight Riders,2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,,
Sam Curran,3.0,0,38.0,1,12.66,4,3,3,0,0,2,Punjab Kings,2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,,
Arshdeep Singh,3.0,0,19.0,3,6.33,10,2,1,0,0,2,Punjab Kings,2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,,
Nathan Ellis,3.0,0,27.0,1,9.0,8,2,1,0,2,2,Punjab Kings,2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,,
Sikandar Raza,3.0,0,25.0,1,8.33,5,3,0,1,0,2,Punjab Kings,2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,,
Rishi Dhawan,1.0,0,15.0,0,15.0,2,2,1,0,0,2,Punjab Kings,2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,,
Rahul Chahar,2.0,0,12.0,1,6.0,5,0,1,0,0,2,Punjab Kings,2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,,
Harpreet Brar,1.0,0,7.0,0,7.0,3,1,0,0,0,2,Punjab Kings,2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,,
Khaleel Ahmed,4.0,0,30.0,2,7.5,15,3,2,1,0,3,Delhi Capitals,2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,,
Mukesh Kumar,4.0,0,34.0,0,8.5,5,0,2,1,0,3,Delhi Capitals,2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,,
Chetan Sakariya,4.0,0,53.0,2,13.25,8,1,6,3,0,3,Delhi Capitals,2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,,
Axar Patel,4.0,0,38.0,1,9.5,8,1,3,0,0,3,Delhi Capitals,2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,,
Kuldeep Yadav,4.0,0,35.0,1,8.75,7,0,3,0,0,3,Delhi Capitals,2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,,
Kyle Mayers,1.0,0,7.0,0,7.0,3,1,0,1,0,3,Lucknow Super Giants,2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,,
